id;idno;name;item_id;status_id;person_id
1;withdrawal panel withdrawal;Liaison Personal;97061;54936;42234
2;interactive;cross-media 西路;79131;62109;75312
3;and;microchip frictionless;55802;9936;15506
4;quantify AI;analyzing Sleek;54295;6953;73659
5;client-driven;Market;76939;45677;18136
6;Intelligent application deposit;Granite SQL;75320;78977;45139
7;methodologies;台灣省 scale Tasty;38632;89304;59764
8;Island;white withdrawal;4450;82978;79370
9;Pound transparent Latvia;Implementation Industrial olive;15690;47273;69404
10;Reduced Barbados;Keyboard;24320;14139;20833
