id;eq_item_id;eq_item_name;eq_name;eq_description;eq_create_date;eq_modify_date
1;95395;quantifying;Applications Division;北路 withdrawal;2023-02-06T06:42:12;2023-02-05T21:29:00
2;34750;西路;Soft Open-architected;quantify;2023-02-06T11:00:52;2023-02-05T21:26:28
3;11937;Principal Central cyan;turn-key;turn-key Unbranded Avon;2023-02-05T23:10:19;2023-02-06T07:58:05
4;709;vortals cross-platform;unleash SCSI;XSS;2023-02-05T16:51:32;2023-02-05T22:05:21
5;99671;Iranian;Sports panel client-driven;vertical;2023-02-06T09:10:29;2023-02-05T20:36:33
6;57311;content generating;explicit;enhance;2023-02-05T21:51:05;2023-02-06T06:07:16
7;61106;Philippine zero Credit;Account;TCP 南路 Account;2023-02-05T16:38:52;2023-02-06T10:11:51
8;36712;Industrial Granite;Chicken;plug-and-play;2023-02-06T00:34:20;2023-02-05T22:36:00
9;57281;Checking online primary;Berkshire 街;街 Operations;2023-02-06T05:49:43;2023-02-06T10:37:45
10;84115;Credit;Anguilla District;interactive Polarised;2023-02-06T09:56:01;2023-02-05T22:06:04
