id;idno;name;description;create_date;modify_date
1;台灣省 monitor;Tuna;../fake-data/blob/hipster.txt;2023-02-12T03:41:19;2023-02-12T03:30:23
2;Account 西路;face pink capacitor;../fake-data/blob/hipster.txt;2023-02-12T12:55:43;2023-02-12T18:53:57
3;payment;Regional Chicken homogeneous;../fake-data/blob/hipster.txt;2023-02-12T13:26:05;2023-02-12T19:07:18
4;structure reboot;Card payment;../fake-data/blob/hipster.txt;2023-02-12T07:24:28;2023-02-12T20:55:56
5;Account Ergonomic;福建省;../fake-data/blob/hipster.txt;2023-02-12T17:18:41;2023-02-12T13:41:44
6;Salad transmitting 福建省;initiatives Savings;../fake-data/blob/hipster.txt;2023-02-12T05:06:13;2023-02-12T22:59:31
7;Re-contextualized infomediaries;Peso Chicken 北路;../fake-data/blob/hipster.txt;2023-02-12T16:47:55;2023-02-12T05:21:28
8;Agent convergence;magnetic National Checking;../fake-data/blob/hipster.txt;2023-02-12T04:42:30;2023-02-12T12:49:08
9;drive;Principal invoice;../fake-data/blob/hipster.txt;2023-02-12T20:11:51;2023-02-12T23:03:24
10;e-business deploy;morph Nakfa Car;../fake-data/blob/hipster.txt;2023-02-12T11:31:17;2023-02-12T18:39:36
