id;lend_date;return_date;description;create_date;modify_date
1;2023-02-12T09:07:16;2023-02-12T05:12:16;../fake-data/blob/hipster.txt;2023-02-12T18:38:41;2023-02-13T01:14:03
2;2023-02-12T02:46:46;2023-02-12T12:02:55;../fake-data/blob/hipster.txt;2023-02-13T01:41:15;2023-02-12T15:56:37
3;2023-02-12T17:35:18;2023-02-13T01:31:07;../fake-data/blob/hipster.txt;2023-02-12T12:04:24;2023-02-12T11:27:35
4;2023-02-13T01:59:58;2023-02-12T02:59:05;../fake-data/blob/hipster.txt;2023-02-12T06:34:57;2023-02-12T07:14:02
5;2023-02-13T01:29:38;2023-02-12T03:31:42;../fake-data/blob/hipster.txt;2023-02-12T19:20:24;2023-02-12T18:55:25
6;2023-02-12T03:56:35;2023-02-12T19:41:57;../fake-data/blob/hipster.txt;2023-02-12T05:59:59;2023-02-12T19:19:44
7;2023-02-12T03:21:53;2023-02-12T17:37:01;../fake-data/blob/hipster.txt;2023-02-12T17:20:54;2023-02-13T01:22:41
8;2023-02-12T21:14:46;2023-02-12T06:06:32;../fake-data/blob/hipster.txt;2023-02-12T20:43:05;2023-02-12T12:31:42
9;2023-02-12T12:38:47;2023-02-13T00:40:48;../fake-data/blob/hipster.txt;2023-02-12T19:16:15;2023-02-12T21:04:33
10;2023-02-13T02:25:55;2023-02-12T07:20:50;../fake-data/blob/hipster.txt;2023-02-12T23:36:44;2023-02-12T22:30:49
